YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
1950	-1.062	-1.163	-1.312	-1.098	-1.445	-1.376	-1.296	-1.053	-.634	-.433	-1.165	-1.261
1951	-1.07	-1.183	-1.204	-.544	-.374	.319	.666	.829	.743	.736	.703	.478
1952	.419	.117	.047	.198	-.307	-.722	-.316	-.378	.313	.275	-.349	-.124
1953	.03	.377	.257	.668	.773	.226	.368	.213	.501	.093	.075	.324
1954	-.051	-.048	.147	-.634	-1.478	-1.528	-1.378	-1.471	-1.166	-1.348	-1.14	-1.113
1955	-.762	-.697	-1.147	-1.662	-1.663	-2.209	-1.998	-2.073	-1.823	-1.753	-1.841	-1.877
1956	-1.437	-1.303	-1.399	-1.248	-1.316	-1.49	-1.259	-1.131	-1.359	-1.486	-1.038	-1.022
1957	-.941	-.372	.101	.372	.826	.753	.908	1.148	1.125	1.083	1.148	1.248
1958	1.472	1.439	1.32	.987	.685	.841	.693	.427	.188	.213	.486	.671
1959	.548	.796	.495	.192	-.026	-.036	-.134	.114	.105	-.06	-.17	-.261
1960	-.299	-.274	-.094	-.005	-.321	-.254	-.34	-.251	-.465	-.355	-.331	-.417
1961	-.163	-.257	-.088	.004	-.304	-.153	-.216	-.304	-.301	-.539	-.436	-.634
1962	-1.087	-.988	-.712	-1.068	-.894	-.839	-.701	-.543	-.551	-.67	-.623	-.505
1963	-.739	-.863	-.69	-.768	-.48	-.112	.401	.597	.75	.814	.844	.744
1964	.874	.468	-.269	-.562	-1.249	-1.113	-1.405	-1.503	-1.311	-1.225	-1.239	-.936
1965	-.557	-.353	-.278	.063	.474	.895	1.36	1.443	1.406	1.219	1.362	1.252
1966	1.306	1.17	.681	.506	-.178	-.169	-.136	.155	-.085	-.044	.004	-.199
1967	-.473	-.919	-1.066	-1.037	-.453	-.217	-.521	-.395	-.621	-.683	-.426	-.378
1968	-.619	-.749	-.641	-.959	-1.106	-.777	-.527	-.102	.22	.435	.586	.347
1969	.664	.833	.453	.616	.681	.823	.467	.218	.177	.511	.666	.398
1970	.372	.415	.22	0	-.097	-.608	-1.089	-1.016	-1.252	-1.088	-1.084	-1.223
1971	-1.223	-1.528	-1.817	-1.87	-1.444	-1.392	-1.23	-1.225	-1.46	-1.421	-1.329	-.993
1972	-.596	-.424	-.269	-.171	.428	.995	1.827	1.821	1.558	1.643	1.726	1.766
1973	1.726	1.5	.86	.473	-.096	-.728	-1.081	-1.347	-1.727	-1.667	-1.503	-1.848
1974	-1.939	-1.793	-1.767	-1.643	-1.061	-.663	-.769	-.671	-.627	-1.052	-1.251	-.905
